country,year,oze_share,energy_price,inflation,gdp_per_capita
Ireland,2023,15.243,0.348425,5.2,87810.0
Iceland,2023,79.444,0.1563138888888889,8.0,61170.0
Italy,2023,19.179,0.354625,5.9,32630.0
Lithuania,2023,31.927,0.23365555555555556,8.7,19220.0
Luxembourg,2023,14.312,0.25056111111111107,2.9,102250.0
Latvia,2023,43.25,0.27878055555555553,9.1,16770.0
Montenegro,2023,40.883,0.09736388888888889,8.7,8620.0
North Macedonia,2023,20.207,0.10636944444444445,9.0,6540.0
Malta,2023,15.437,0.19363055555555556,5.6,33380.0
Netherlands,2023,17.588,0.2758111111111111,4.1,50660.0
Norway,2023,76.729,0.19543055555555555,5.7,66140.0
Poland,2023,16.651,0.17583055555555557,10.8,15950.0
Portugal,2023,35.154,0.2430388888888889,5.3,22130.0
Romania,2023,25.758,0.15853333333333333,9.7,12970.0
Serbia,2023,25.428,0.1254388888888889,12.1,8510.0
Sweden,2023,66.393,0.20721944444444446,5.9,47960.0
Slovenia,2023,25.066,0.19277777777777777,7.2,25120.0
Slovakia,2023,16.991,0.1723861111111111,11.0,18750.0
Austria,2024,42.951,0.2747861111111111,2.9,45140.0
Belgium,2024,14.336,0.31111944444444445,4.3,44410.0
Bulgaria,2024,23.21,0.10684166666666667,2.6,11330.0
Cyprus,2024,20.844,0.32286944444444443,2.3,29950.0
Czech Republic,2024,19.211,0.3110527777777778,2.7,21920.0
Germany,2024,22.474,0.3604361111111111,2.5,43110.0
Denmark,2024,46.461,0.2734888888888889,1.3,58160.0
Estonia,2024,42.232,0.19694166666666668,3.7,21060.0
Greece,2024,25.364,0.25690555555555555,3.0,19020.0
Spain,2024,25.417,0.2542611111111111,2.9,27800.0
Finland,2024,52.124,0.19662222222222223,1.0,43110.0
France,2024,23.229,0.2842527777777778,2.3,38180.0
Croatia,2024,26.477,0.1484388888888889,4.0,17060.0
Hungary,2024,18.264,0.09851666666666667,3.7,16210.0
Ireland,2024,16.064,0.3050111111111111,1.3,88600.0
Iceland,2024,79.332,0.17955454545454547,4.5,59270.0
Italy,2024,19.385,0.31988333333333335,1.1,32900.0
Lithuania,2024,35.408,0.19970000000000002,0.9,19690.0
Luxembourg,2024,14.742,0.2562696969696969,2.3,101000.0
Latvia,2024,45.535,0.24098888888888886,1.3,16910.0
Montenegro,2024,40.822,0.1000888888888889,3.6,8890.0
North Macedonia,2024,21.811,0.12083055555555555,4.2,6750.0
Malta,2024,17.21,0.20027878787878786,2.4,34480.0
Netherlands,2024,20.18,0.23113333333333333,3.2,50870.0
Norway,2024,77.932,0.20957575757575758,2.8,66460.0
Poland,2024,17.77,0.1940939393939394,3.7,16510.0
Portugal,2024,36.319,0.24257272727272725,2.7,22370.0
Romania,2024,25.378,0.15449444444444443,5.8,13090.0
Serbia,2024,25.862,0.13174166666666667,4.8,8900.0
Sweden,2024,62.846,0.20768055555555553,2.0,48770.0
Slovenia,2024,25.001,0.19634166666666666,2.0,25480.0
Slovakia,2024,18.092,0.1595,3.2,19110.0
